Date,Habitat,Cruise,Station,Deployment,Longitude,Latitude,Depth,Corer,Area,Sieve,Speed,over20,pressure,Temperature,Salinity,Sigma_theta,Density,Oxygen,fluorometer,transmissometer,DO_flux,In_situ_DO_flux,Clay,Silt,Sand,CN,TOC,TN,WW,DW,Porosity
2015-08-04,Canyon,OR1_1114,GC1,2,120.4111333,22.41725,318,Multicorer,0.00785,40,0.106518983,8.472222222,315,13.1765,34.4929,25.97331667,1027.368233,4.32218,0.100566667,4.365366667,,,13.3,61.1,25.6,5.925714286,0.427145238,0.072083333,3.933,2.327,0.640313701
2015-08-04,Canyon,OR1_1114,GC2,1,120.3348333,22.40066667,478,Multicorer,0.00785,40,0.101148812,7.222222222,485,8.642416667,34.42688333,26.73385,1028.92415,3.5482,0.138333333,1.038033333,-8.183874277,-8.362583585,17.9,64.9,17.2,5.981818182,0.449211538,0.075096154,3.994,2.361,0.640464196
2015-08-04,Canyon,OR1_1114,GC3,1,120.2665,22.35,655,Multicorer,0.00785,40,0.09178399,1.805555556,664,8.0394,34.4272,26.82833333,1029.8304,3.408563333,0.167166667,0,-4.898559568,-4.785529415,34.1,65.87,0.03,6.74301676,0.507056901,0.075197337,3.491,1.871,0.690213713
2015-08-05,Canyon,OR1_1114,GC4,1,120.1928333,22.298,1051,Multicorer,0.00785,40,0.089022877,1.388888889,1060,3.968066667,34.53291667,27.42616667,1032.302683,3.104753333,0.0281,49.10833333,-6.45786264,-4.759482106,20.3,76.6,3.1,6.679069767,0.581886256,0.087120853,3.376,1.523,0.757476076
2015-08-05,Slope,OR1_1114,GS1,1,120.3998333,22.23216667,279,Multicorer,0.00785,40,0.083553867,1.805555556,276,13.70618333,34.52185,25.88685,1027.106683,4.600826667,0.027366667,76.94633333,-16.31831414,-23.61719497,12.6,78.1,9.3,6.197044335,0.525987593,0.084877171,3.494,1.968,0.666733061
2015-08-05,Slope,OR1_1114,GS2,1,120.3296667,22.21716667,462,Multicorer,0.00785,40,0.063058396,0.138888889,460,10.24841667,34.42388333,26.46885,1028.530583,3.91454,0.0214,87.28206667,-5.560520801,-6.34454289,19.8,77.5,2.7,6.215613383,0.667702407,0.107423414,3.731,1.595,0.775301008
2015-08-05,Slope,OR1_1114,GS3,1,120.2998333,22.18333333,690,Multicorer,0.00785,40,0.051823926,0,685,6.863533333,34.42525,26.99361667,1030.108767,3.15875,0.018366667,86.54196667,-5.970159762,-5.385658945,24.3,74,1.7,6.209964413,0.759562183,0.122313452,3.179,1.375,0.771437848
2015-08-05,Slope,OR1_1114,GS4,1,120.2304,22.14008333,848,Multicorer,0.00785,40,0.076894547,0,845,5.905383333,34.44096667,27.13225,1030.9879,3.00119,0.019933333,83.64666667,-1.546338515,-1.30565988,22.4,75.9,1.7,6.743421053,0.780504587,0.115743119,2.668,0.888,0.837458597
2015-11-19,Slope,OR1_1126,GS1,1,120.4,22.233,277,Multicorer,0.00785,40,0.085952068,1.944444444,265,13.88513333,34.52626667,25.85271667,1027.023183,4.9669,0.0205,83.59853333,-16.6992664,-20.75268578,14.7,77,8.3,6.105022831,0.571381356,0.09359201,9.168,4.534,0.725061892
2015-11-19,Slope,OR1_1126,GS2,1,120.33,22.21677,463,Multicorer,0.00785,40,0.062979315,0.277777778,460,9.043783333,34.41281667,26.65936667,1028.73325,3.83547,0.0142,84.77056667,-14.98845834,-13.08787009,21.3,76.7,2,5.878676471,0.670909091,0.114125874,14.9,7.117,0.738016958
2015-11-19,Slope,OR1_1126,GS3,2,120.3,22.183,690,Multicorer,0.00785,40,0.056057647,0,688,6.380816667,34.44821667,27.07571667,1030.212283,3.25708,0.019866667,87.0968,,,23.9,75.1,1,5.494736842,0.645147887,0.117411972,14.484,6.897,0.738877883
2015-11-20,Slope,OR1_1126,GS4,1,120.230057,22.14018259,848,Multicorer,0.00785,40,0.073291484,0,840,5.537766667,34.47421667,27.20343333,1031.04385,3.154006667,0.021133333,86.60766667,,,26,73.2,0.8,6.253125,0.783608392,0.125314685,15.391,5.772,0.810722184
2015-11-21,Canyon,OR1_1126,GC1,1,120.411718,22.41756425,318,Multicorer,0.00785,40,0.106547501,4.166666667,315,12.42261667,34.50463333,26.13115,1027.53075,4.429116667,0.071033333,19.21863333,,,21,77.2,1.8,5.752688172,0.432889785,0.07525,18.051,11.283,0.607379308
2015-11-21,Canyon,OR1_1126,GC2,1,120.333,22.4,487,Multicorer,0.00785,40,0.104095192,7.5,485,7.36855,34.44205,26.93428333,1029.138783,3.473276667,0.022233333,42.52276667,,,4.68,54.52,40.8,5.512605042,0.287094688,0.052079677,20.747,14.332,0.535435871
2015-11-20,Canyon,OR1_1126,GC3,1,120.2667,22.35,655,Multicorer,0.00785,40,0.090469638,1.388888889,601,7.532883333,34.43905,26.91028333,1029.636367,3.487086667,0.025533333,61.1616,-5.906874689,-5.317261208,22.3,76.5,1.2,5.44,0.447845036,0.082324455,14.754,6.975,0.741628392
2015-11-20,Canyon,OR1_1126,GC4,3,120.1933,22.29805,1073,Multicorer,0.00785,40,0.073863614,0.138888889,1066,3.984616667,34.53706667,27.42785,1032.331117,3.18642,0.026433333,51.2163,-3.270973828,-2.297686365,23.6,75.5,0.9,5.699570815,0.55052194,0.096590069,14.297,6.087,0.775901127
